date,day_of_week,is_weekend,is_holiday,weather,temperature,competitor_price,visitors,current_price,revenue,recommended_price
2024-01-01,0,0,1,cloudy,21,1322,2372,1223,2900956,1500
2024-01-02,1,0,0,sunny,19,1102,1314,1009,1325826,1268
2024-01-03,2,0,0,sunny,21,1125,1387,1040,1442480,1329
2024-01-04,3,0,0,cloudy,22,969,982,1009,990838,1195
2024-01-05,4,0,0,rainy,16,847,478,993,474654,893
2024-01-06,5,1,0,cloudy,15,1131,1514,1193,1806202,1427
2024-01-07,6,1,0,sunny,17,1247,1748,1188,2076624,1500
2024-01-08,0,0,0,sunny,23,1082,1152,988,1138176,1361
2024-01-09,1,0,0,cloudy,19,1007,856,1011,865416,1104
2024-01-10,2,0,0,sunny,18,1120,1044,1071,1118124,1281
2024-01-11,3,0,0,cloudy,15,1001,830,1057,877310,1135
2024-01-12,4,0,0,sunny,16,1081,1092,1045,1141140,1286
2024-01-13,5,1,0,cloudy,19,1112,1953,1108,2163924,1412
2024-01-14,6,1,1,rainy,22,1458,3310,1344,4448640,1500
2024-01-15,0,0,0,sunny,17,1098,1055,903,952665,1304
2024-01-16,1,0,0,cloudy,18,1008,808,1052,850016,1094
2024-01-17,2,0,0,sunny,20,1047,1207,1059,1278213,1279
2024-01-18,3,0,0,sunny,21,1089,1413,984,1390392,1291
2024-01-19,4,0,0,sunny,15,1082,1341,1008,1351728,1320
2024-01-20,5,1,0,sunny,18,1276,2972,1008,2995776,1500
2024-01-21,6,1,0,cloudy,15,1152,1865,1024,1909760,1475
2024-01-22,0,0,0,sunny,15,1064,1161,1093,1268973,1272
2024-01-23,1,0,0,sunny,18,1070,1128,1007,1135896,1262
2024-01-24,2,0,0,cloudy,24,1025,1270,923,1172210,1238
2024-01-25,3,0,0,cloudy,18,1039,1005,918,922590,1155
2024-01-26,4,0,1,sunny,15,1425,2665,1028,2739620,1500
2024-01-27,5,1,0,sunny,25,1266,2354,953,2243362,1500
2024-01-28,6,1,0,sunny,22,1258,3297,1193,3933321,1500
2024-01-29,0,0,0,sunny,19,1055,1471,1004,1476884,1297
2024-01-30,1,0,0,sunny,15,1071,780,1050,819000,1204
2024-01-31,2,0,0,rainy,17,863,428,993,425004,811
2024-02-01,3,0,0,cloudy,19,983,1175,1006,1182050,1180
2024-02-02,4,0,0,sunny,25,1032,1761,1031,1815591,1405
2024-02-03,5,1,0,cloudy,21,1154,1762,982,1730284,1415
2024-02-04,6,1,0,rainy,19,1053,826,1050,867300,1120
2024-02-05,0,0,0,sunny,20,1115,1223,979,1197317,1350
2024-02-06,1,0,0,sunny,20,1098,1145,947,1084315,1294
2024-02-07,2,0,0,sunny,25,1116,1266,920,1164720,1382
2024-02-08,3,0,0,rainy,22,835,767,1061,813787,993
2024-02-09,4,0,0,sunny,20,1134,1468,1037,1522316,1313
2024-02-10,5,1,0,sunny,16,1205,1892,1069,2022548,1500
2024-02-11,6,1,0,sunny,23,1367,2808,1095,3074760,1500
2024-02-12,0,0,0,sunny,23,1038,1311,957,1254627,1377
2024-02-13,1,0,0,cloudy,15,959,654,1005,657270,1137
2024-02-14,2,0,0,cloudy,24,1009,1216,1087,1321792,1272
2024-02-15,3,0,0,sunny,20,1046,1394,934,1301996,1287
2024-02-16,4,0,0,cloudy,23,1002,1488,998,1485024,1277
2024-02-17,5,1,0,cloudy,15,1205,1517,1178,1787026,1490
2024-02-18,6,1,0,sunny,20,1177,2874,1104,3172896,1500
2024-02-19,0,0,0,rainy,18,883,594,996,591624,943
2024-02-20,1,0,0,sunny,17,1130,900,1028,925200,1222
2024-02-21,2,0,0,sunny,22,1084,1352,959,1296568,1338
2024-02-22,3,0,0,sunny,23,1119,1476,1056,1558656,1437
2024-02-23,4,0,0,cloudy,15,1012,862,918,791316,1097
2024-02-24,5,1,0,cloudy,22,1143,1886,951,1793586,1491
2024-02-25,6,1,0,sunny,18,1244,3199,1051,3362149,1500
2024-02-26,0,0,0,sunny,15,1017,1082,1010,1092820,1244
2024-02-27,1,0,0,cloudy,15,969,738,1005,741690,1122
2024-02-28,2,0,0,cloudy,15,954,877,982,861214,1107
2024-02-29,3,0,0,rainy,15,909,514,1057,543298,869
2024-03-01,4,0,0,sunny,33,1082,1775,1040,1846000,1313
2024-03-02,5,1,0,sunny,39,1189,1546,998,1542908,1456
